anchor records: 330  problem texts: 655

[E01A_claude_opus_4_7] model=claude-opus-4-7  resumable from 3/330 cached records
  [E01A_claude_opus_4_7] 8/330  avg=5.6s/prob  est_left=29.9min
  [E01A_claude_opus_4_7] 13/330  avg=5.6s/prob  est_left=29.7min
  [E01A_claude_opus_4_7] 18/330  avg=5.7s/prob  est_left=29.6min
  [E01A_claude_opus_4_7] 23/330  avg=5.5s/prob  est_left=28.1min
  [E01A_claude_opus_4_7] 28/330  avg=5.3s/prob  est_left=26.7min
  [E01A_claude_opus_4_7] 33/330  avg=5.4s/prob  est_left=26.7min
  [E01A_claude_opus_4_7] 38/330  avg=5.3s/prob  est_left=25.8min
  [E01A_claude_opus_4_7] 43/330  avg=5.4s/prob  est_left=25.6min
  [E01A_claude_opus_4_7] 48/330  avg=5.4s/prob  est_left=25.4min
  [E01A_claude_opus_4_7] 53/330  avg=5.5s/prob  est_left=25.3min
  [E01A_claude_opus_4_7] 58/330  avg=5.6s/prob  est_left=25.2min
  [E01A_claude_opus_4_7] 63/330  avg=5.7s/prob  est_left=25.4min
  [E01A_claude_opus_4_7] 68/330  avg=5.7s/prob  est_left=24.8min
  [E01A_claude_opus_4_7] 73/330  avg=5.7s/prob  est_left=24.2min
  [E01A_claude_opus_4_7] 78/330  avg=5.6s/prob  est_left=23.7min
  [E01A_claude_opus_4_7] 83/330  avg=5.6s/prob  est_left=23.1min
  [E01A_claude_opus_4_7] 88/330  avg=5.6s/prob  est_left=22.5min
  [E01A_claude_opus_4_7] 93/330  avg=5.5s/prob  est_left=21.9min
  [E01A_claude_opus_4_7] 98/330  avg=5.7s/prob  est_left=21.9min
  [E01A_claude_opus_4_7] 103/330  avg=6.2s/prob  est_left=23.5min
  [E01A_claude_opus_4_7] 108/330  avg=6.2s/prob  est_left=23.1min
  [E01A_claude_opus_4_7] 113/330  avg=6.2s/prob  est_left=22.3min
  [E01A_claude_opus_4_7] 118/330  avg=6.1s/prob  est_left=21.6min
  [E01A_claude_opus_4_7] 123/330  avg=6.0s/prob  est_left=20.9min
  [E01A_claude_opus_4_7] 128/330  avg=6.1s/prob  est_left=20.5min
  [E01A_claude_opus_4_7] 133/330  avg=6.1s/prob  est_left=20.0min
  [E01A_claude_opus_4_7] 138/330  avg=6.1s/prob  est_left=19.5min
  [E01A_claude_opus_4_7] 143/330  avg=6.2s/prob  est_left=19.2min
  [E01A_claude_opus_4_7] 148/330  avg=6.2s/prob  est_left=18.9min
  [E01A_claude_opus_4_7] 153/330  avg=6.3s/prob  est_left=18.7min
  [E01A_claude_opus_4_7] 158/330  avg=6.4s/prob  est_left=18.3min
  [E01A_claude_opus_4_7] 163/330  avg=6.5s/prob  est_left=18.1min
  [E01A_claude_opus_4_7] 168/330  avg=6.5s/prob  est_left=17.6min
  [E01A_claude_opus_4_7] 173/330  avg=6.6s/prob  est_left=17.2min
  [E01A_claude_opus_4_7] 178/330  avg=6.6s/prob  est_left=16.8min
  [E01A_claude_opus_4_7] 183/330  avg=6.7s/prob  est_left=16.3min
  [E01A_claude_opus_4_7] 188/330  avg=6.8s/prob  est_left=16.1min
  [E01A_claude_opus_4_7] 193/330  avg=6.8s/prob  est_left=15.6min
  [E01A_claude_opus_4_7] 198/330  avg=6.9s/prob  est_left=15.2min
  [E01A_claude_opus_4_7] 203/330  avg=7.6s/prob  est_left=16.1min
  [E01A_claude_opus_4_7] 208/330  avg=7.7s/prob  est_left=15.6min
  [E01A_claude_opus_4_7] 213/330  avg=7.9s/prob  est_left=15.5min
  [E01A_claude_opus_4_7] 218/330  avg=8.0s/prob  est_left=14.9min
  [E01A_claude_opus_4_7] 223/330  avg=7.9s/prob  est_left=14.0min
  [E01A_claude_opus_4_7] 228/330  avg=7.9s/prob  est_left=13.4min
  [E01A_claude_opus_4_7] 233/330  avg=8.0s/prob  est_left=12.9min
  [E01A_claude_opus_4_7] 238/330  avg=8.0s/prob  est_left=12.3min
  [E01A_claude_opus_4_7] 243/330  avg=8.0s/prob  est_left=11.6min
  [E01A_claude_opus_4_7] 248/330  avg=7.9s/prob  est_left=10.8min
  [E01A_claude_opus_4_7] 253/330  avg=7.9s/prob  est_left=10.2min
  [E01A_claude_opus_4_7] 258/330  avg=8.0s/prob  est_left=9.6min
  [E01A_claude_opus_4_7] 263/330  avg=8.0s/prob  est_left=9.0min
  [E01A_claude_opus_4_7] 268/330  avg=8.1s/prob  est_left=8.4min
  [E01A_claude_opus_4_7] 273/330  avg=8.1s/prob  est_left=7.7min
  [E01A_claude_opus_4_7] 278/330  avg=8.1s/prob  est_left=7.0min
  [E01A_claude_opus_4_7] 283/330  avg=8.3s/prob  est_left=6.5min
  [E01A_claude_opus_4_7] 288/330  avg=8.3s/prob  est_left=5.8min
  [E01A_claude_opus_4_7] 293/330  avg=8.2s/prob  est_left=5.1min
  [E01A_claude_opus_4_7] 298/330  avg=8.2s/prob  est_left=4.4min
  [E01A_claude_opus_4_7] 303/330  avg=8.2s/prob  est_left=3.7min
  [E01A_claude_opus_4_7] 308/330  avg=8.2s/prob  est_left=3.0min
  [E01A_claude_opus_4_7] 313/330  avg=8.2s/prob  est_left=2.3min
  [E01A_claude_opus_4_7] 318/330  avg=8.2s/prob  est_left=1.6min
  [E01A_claude_opus_4_7] 323/330  avg=8.1s/prob  est_left=0.9min
  [E01A_claude_opus_4_7] 328/330  avg=8.1s/prob  est_left=0.3min
  [E01A_claude_opus_4_7] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp58_opus47_extractor.json (330 records).
