anchor records: 330  problem texts: 655

[E03A_claude_haiku_4_5] model=claude-haiku-4-5-20251001  resumable from 3/330 cached records
  [E03A_claude_haiku_4_5] 8/330  avg=4.5s/prob  est_left=24.1min
  [E03A_claude_haiku_4_5] 13/330  avg=4.1s/prob  est_left=21.7min
  [E03A_claude_haiku_4_5] 18/330  avg=4.2s/prob  est_left=21.6min
  [E03A_claude_haiku_4_5] 23/330  avg=4.1s/prob  est_left=21.2min
  [E03A_claude_haiku_4_5] 28/330  avg=4.1s/prob  est_left=20.7min
  [E03A_claude_haiku_4_5] 33/330  avg=4.2s/prob  est_left=20.8min
  [E03A_claude_haiku_4_5] 38/330  avg=4.3s/prob  est_left=20.8min
  [E03A_claude_haiku_4_5] 43/330  avg=4.3s/prob  est_left=20.5min
  [E03A_claude_haiku_4_5] 48/330  avg=4.3s/prob  est_left=20.4min
  [E03A_claude_haiku_4_5] 53/330  avg=4.3s/prob  est_left=19.9min
  [E03A_claude_haiku_4_5] 58/330  avg=4.3s/prob  est_left=19.5min
  [E03A_claude_haiku_4_5] 63/330  avg=4.5s/prob  est_left=20.0min
  [E03A_claude_haiku_4_5] 68/330  avg=4.4s/prob  est_left=19.3min
  [E03A_claude_haiku_4_5] 73/330  avg=4.4s/prob  est_left=19.0min
  [E03A_claude_haiku_4_5] 78/330  avg=4.4s/prob  est_left=18.6min
  [E03A_claude_haiku_4_5] 83/330  avg=4.7s/prob  est_left=19.3min
  [E03A_claude_haiku_4_5] 88/330  avg=4.7s/prob  est_left=19.0min
  [E03A_claude_haiku_4_5] 93/330  avg=4.6s/prob  est_left=18.2min
  [E03A_claude_haiku_4_5] 98/330  avg=4.7s/prob  est_left=18.2min
  [E03A_claude_haiku_4_5] 103/330  avg=4.6s/prob  est_left=17.5min
  [E03A_claude_haiku_4_5] 108/330  avg=4.6s/prob  est_left=16.9min
  [E03A_claude_haiku_4_5] 113/330  avg=4.5s/prob  est_left=16.2min
  [E03A_claude_haiku_4_5] 118/330  avg=4.5s/prob  est_left=15.8min
  [E03A_claude_haiku_4_5] 123/330  avg=4.5s/prob  est_left=15.4min
  [E03A_claude_haiku_4_5] 128/330  avg=4.6s/prob  est_left=15.5min
  [E03A_claude_haiku_4_5] 133/330  avg=4.7s/prob  est_left=15.3min
  [E03A_claude_haiku_4_5] 138/330  avg=4.7s/prob  est_left=15.1min
  [E03A_claude_haiku_4_5] 143/330  avg=4.7s/prob  est_left=14.7min
  [E03A_claude_haiku_4_5] 148/330  avg=4.8s/prob  est_left=14.6min
  [E03A_claude_haiku_4_5] 153/330  avg=4.7s/prob  est_left=14.0min
  [E03A_claude_haiku_4_5] 158/330  avg=4.7s/prob  est_left=13.5min
  [E03A_claude_haiku_4_5] 163/330  avg=4.8s/prob  est_left=13.2min
  [E03A_claude_haiku_4_5] 168/330  avg=4.8s/prob  est_left=13.0min
  [E03A_claude_haiku_4_5] 173/330  avg=4.9s/prob  est_left=12.7min
  [E03A_claude_haiku_4_5] 178/330  avg=4.9s/prob  est_left=12.3min
  [E03A_claude_haiku_4_5] 183/330  avg=4.8s/prob  est_left=11.8min
  [E03A_claude_haiku_4_5] 188/330  avg=4.8s/prob  est_left=11.4min
  [E03A_claude_haiku_4_5] 193/330  avg=5.1s/prob  est_left=11.7min
  [E03A_claude_haiku_4_5] 198/330  avg=5.1s/prob  est_left=11.2min
  [E03A_claude_haiku_4_5] 203/330  avg=5.5s/prob  est_left=11.5min
  [E03A_claude_haiku_4_5] 208/330  avg=5.4s/prob  est_left=10.9min
  [E03A_claude_haiku_4_5] 213/330  avg=5.3s/prob  est_left=10.4min
  [E03A_claude_haiku_4_5] 218/330  avg=5.3s/prob  est_left=10.0min
  [E03A_claude_haiku_4_5] 223/330  avg=5.2s/prob  est_left=9.3min
  [E03A_claude_haiku_4_5] 228/330  avg=5.1s/prob  est_left=8.7min
  [E03A_claude_haiku_4_5] 233/330  avg=5.0s/prob  est_left=8.1min
  [E03A_claude_haiku_4_5] 238/330  avg=5.0s/prob  est_left=7.6min
  [E03A_claude_haiku_4_5] 243/330  avg=5.0s/prob  est_left=7.2min
  [E03A_claude_haiku_4_5] 248/330  avg=5.0s/prob  est_left=6.8min
  [E03A_claude_haiku_4_5] 253/330  avg=4.9s/prob  est_left=6.3min
  [E03A_claude_haiku_4_5] 258/330  avg=4.9s/prob  est_left=5.9min
  [E03A_claude_haiku_4_5] 263/330  avg=4.9s/prob  est_left=5.4min
  [E03A_claude_haiku_4_5] 268/330  avg=4.8s/prob  est_left=5.0min
  [E03A_claude_haiku_4_5] 273/330  avg=4.8s/prob  est_left=4.5min
  [E03A_claude_haiku_4_5] 278/330  avg=4.8s/prob  est_left=4.1min
  [E03A_claude_haiku_4_5] 283/330  avg=4.8s/prob  est_left=3.8min
  [E03A_claude_haiku_4_5] 288/330  avg=5.0s/prob  est_left=3.5min
  [E03A_claude_haiku_4_5] 293/330  avg=4.9s/prob  est_left=3.0min
  [E03A_claude_haiku_4_5] 298/330  avg=4.9s/prob  est_left=2.6min
  [E03A_claude_haiku_4_5] 303/330  avg=4.9s/prob  est_left=2.2min
  [E03A_claude_haiku_4_5] 308/330  avg=4.8s/prob  est_left=1.8min
  [E03A_claude_haiku_4_5] 313/330  avg=4.8s/prob  est_left=1.4min
  [E03A_claude_haiku_4_5] 318/330  avg=4.8s/prob  est_left=1.0min
  [E03A_claude_haiku_4_5] 323/330  avg=4.8s/prob  est_left=0.6min
  [E03A_claude_haiku_4_5] 328/330  avg=4.7s/prob  est_left=0.2min
  [E03A_claude_haiku_4_5] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp61_haiku45_extractor.json (330 records).
