anchor records: 330  problem texts: 655

[E04S_gpt_4_1] model=gpt-4.1-2025-04-14  resumable from 0/330 cached records
  [E04S_gpt_4_1] 5/330  avg=4.5s/prob  est_left=24.5min
  [E04S_gpt_4_1] 10/330  avg=4.1s/prob  est_left=22.0min
  [E04S_gpt_4_1] 15/330  avg=3.9s/prob  est_left=20.6min
  [E04S_gpt_4_1] 20/330  avg=3.6s/prob  est_left=18.5min
  [E04S_gpt_4_1] 25/330  avg=3.4s/prob  est_left=17.3min
  [E04S_gpt_4_1] 30/330  avg=3.5s/prob  est_left=17.4min
  [E04S_gpt_4_1] 35/330  avg=3.9s/prob  est_left=19.2min
  [E04S_gpt_4_1] 40/330  avg=4.1s/prob  est_left=19.8min
  [E04S_gpt_4_1] 45/330  avg=4.0s/prob  est_left=19.0min
  [E04S_gpt_4_1] 50/330  avg=3.9s/prob  est_left=18.1min
  [E04S_gpt_4_1] 55/330  avg=3.8s/prob  est_left=17.5min
  [E04S_gpt_4_1] 60/330  avg=4.0s/prob  est_left=18.0min
  [E04S_gpt_4_1] 65/330  avg=4.3s/prob  est_left=18.8min
  [E04S_gpt_4_1] 70/330  avg=4.3s/prob  est_left=18.5min
  [E04S_gpt_4_1] 75/330  avg=4.3s/prob  est_left=18.1min
  [E04S_gpt_4_1] 80/330  avg=4.2s/prob  est_left=17.5min
  [E04S_gpt_4_1] 85/330  avg=4.1s/prob  est_left=16.7min
  [E04S_gpt_4_1] 90/330  avg=4.0s/prob  est_left=16.0min
  [E04S_gpt_4_1] 95/330  avg=4.0s/prob  est_left=15.5min
  [E04S_gpt_4_1] 100/330  avg=3.9s/prob  est_left=15.0min
  [E04S_gpt_4_1] 105/330  avg=3.8s/prob  est_left=14.4min
  [E04S_gpt_4_1] 110/330  avg=3.8s/prob  est_left=13.8min
  [E04S_gpt_4_1] 115/330  avg=3.7s/prob  est_left=13.4min
  [E04S_gpt_4_1] 120/330  avg=3.7s/prob  est_left=13.0min
  [E04S_gpt_4_1] 125/330  avg=3.7s/prob  est_left=12.5min
  [E04S_gpt_4_1] 130/330  avg=3.6s/prob  est_left=12.1min
  [E04S_gpt_4_1] 135/330  avg=3.6s/prob  est_left=11.8min
  [E04S_gpt_4_1] 140/330  avg=3.6s/prob  est_left=11.5min
  [E04S_gpt_4_1] 145/330  avg=3.6s/prob  est_left=11.1min
  [E04S_gpt_4_1] 150/330  avg=3.7s/prob  est_left=11.0min
  [E04S_gpt_4_1] 155/330  avg=3.6s/prob  est_left=10.4min
  [E04S_gpt_4_1] 160/330  avg=3.5s/prob  est_left=10.0min
  [E04S_gpt_4_1] 165/330  avg=3.4s/prob  est_left=9.5min
  [E04S_gpt_4_1] 170/330  avg=3.4s/prob  est_left=9.1min
  [E04S_gpt_4_1] 175/330  avg=3.4s/prob  est_left=8.7min
  [E04S_gpt_4_1] 180/330  avg=3.3s/prob  est_left=8.3min
  [E04S_gpt_4_1] 185/330  avg=3.2s/prob  est_left=7.8min
  [E04S_gpt_4_1] 190/330  avg=3.2s/prob  est_left=7.4min
  [E04S_gpt_4_1] 195/330  avg=3.1s/prob  est_left=7.0min
  [E04S_gpt_4_1] 200/330  avg=3.1s/prob  est_left=6.6min
  [E04S_gpt_4_1] 205/330  avg=3.0s/prob  est_left=6.3min
  [E04S_gpt_4_1] 210/330  avg=3.0s/prob  est_left=6.0min
  [E04S_gpt_4_1] 215/330  avg=2.9s/prob  est_left=5.6min
  [E04S_gpt_4_1] 220/330  avg=2.9s/prob  est_left=5.3min
  [E04S_gpt_4_1] 225/330  avg=2.8s/prob  est_left=5.0min
  [E04S_gpt_4_1] 230/330  avg=2.8s/prob  est_left=4.7min
  [E04S_gpt_4_1] 235/330  avg=2.7s/prob  est_left=4.4min
  [E04S_gpt_4_1] 240/330  avg=2.7s/prob  est_left=4.1min
  [E04S_gpt_4_1] 245/330  avg=2.7s/prob  est_left=3.9min
  [E04S_gpt_4_1] 250/330  avg=2.7s/prob  est_left=3.6min
  [E04S_gpt_4_1] 255/330  avg=2.7s/prob  est_left=3.3min
  [E04S_gpt_4_1] 260/330  avg=2.6s/prob  est_left=3.1min
  [E04S_gpt_4_1] 265/330  avg=2.6s/prob  est_left=2.8min
  [E04S_gpt_4_1] 270/330  avg=2.6s/prob  est_left=2.6min
  [E04S_gpt_4_1] 275/330  avg=2.6s/prob  est_left=2.4min
  [E04S_gpt_4_1] 280/330  avg=2.6s/prob  est_left=2.1min
  [E04S_gpt_4_1] 285/330  avg=2.5s/prob  est_left=1.9min
  [E04S_gpt_4_1] 290/330  avg=2.5s/prob  est_left=1.7min
  [E04S_gpt_4_1] 295/330  avg=2.5s/prob  est_left=1.5min
  [E04S_gpt_4_1] 300/330  avg=2.5s/prob  est_left=1.3min
  [E04S_gpt_4_1] 305/330  avg=2.5s/prob  est_left=1.0min
  [E04S_gpt_4_1] 310/330  avg=2.5s/prob  est_left=0.8min
  [E04S_gpt_4_1] 315/330  avg=2.5s/prob  est_left=0.6min
  [E04S_gpt_4_1] 320/330  avg=2.5s/prob  est_left=0.4min
  [E04S_gpt_4_1] 325/330  avg=2.5s/prob  est_left=0.2min
  [E04S_gpt_4_1] 330/330  avg=2.4s/prob  est_left=0.0min
  [E04S_gpt_4_1] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp56_gpt41_extractor.json (330 records).
