anchor records: 330  problem texts: 655

[E08S_gpt_4o] model=gpt-4o-2024-11-20  resumable from 0/330 cached records
  [E08S_gpt_4o] 5/330  avg=4.6s/prob  est_left=25.2min
  [E08S_gpt_4o] 10/330  avg=3.7s/prob  est_left=19.8min
  [E08S_gpt_4o] 15/330  avg=3.2s/prob  est_left=17.0min
  [E08S_gpt_4o] 20/330  avg=3.2s/prob  est_left=16.4min
  [E08S_gpt_4o] 25/330  avg=2.8s/prob  est_left=14.2min
  [E08S_gpt_4o] 30/330  avg=2.8s/prob  est_left=14.1min
  [E08S_gpt_4o] 35/330  avg=2.6s/prob  est_left=12.6min
  [E08S_gpt_4o] 40/330  avg=2.9s/prob  est_left=13.8min
  [E08S_gpt_4o] 45/330  avg=2.7s/prob  est_left=12.8min
  [E08S_gpt_4o] 50/330  avg=2.7s/prob  est_left=12.8min
  [E08S_gpt_4o] 55/330  avg=2.6s/prob  est_left=12.1min
  [E08S_gpt_4o] 60/330  avg=2.6s/prob  est_left=11.7min
  [E08S_gpt_4o] 65/330  avg=2.4s/prob  est_left=10.8min
  [E08S_gpt_4o] 70/330  avg=2.4s/prob  est_left=10.3min
  [E08S_gpt_4o] 75/330  avg=2.4s/prob  est_left=10.1min
  [E08S_gpt_4o] 80/330  avg=2.4s/prob  est_left=10.0min
  [E08S_gpt_4o] 85/330  avg=2.3s/prob  est_left=9.6min
  [E08S_gpt_4o] 90/330  avg=2.3s/prob  est_left=9.2min
  [E08S_gpt_4o] 95/330  avg=2.3s/prob  est_left=9.1min
  [E08S_gpt_4o] 100/330  avg=2.2s/prob  est_left=8.6min
  [E08S_gpt_4o] 105/330  avg=2.3s/prob  est_left=8.5min
  [E08S_gpt_4o] 110/330  avg=2.2s/prob  est_left=8.2min
  [E08S_gpt_4o] 115/330  avg=2.2s/prob  est_left=7.8min
  [E08S_gpt_4o] 120/330  avg=2.2s/prob  est_left=7.8min
  [E08S_gpt_4o] 125/330  avg=2.2s/prob  est_left=7.5min
  [E08S_gpt_4o] 130/330  avg=2.2s/prob  est_left=7.3min
  [E08S_gpt_4o] 135/330  avg=2.2s/prob  est_left=7.1min
  [E08S_gpt_4o] 140/330  avg=2.2s/prob  est_left=6.9min
  [E08S_gpt_4o] 145/330  avg=2.1s/prob  est_left=6.6min
  [E08S_gpt_4o] 150/330  avg=2.1s/prob  est_left=6.3min
  [E08S_gpt_4o] 155/330  avg=2.1s/prob  est_left=6.0min
  [E08S_gpt_4o] 160/330  avg=2.0s/prob  est_left=5.7min
  [E08S_gpt_4o] 165/330  avg=2.0s/prob  est_left=5.5min
  [E08S_gpt_4o] 170/330  avg=2.0s/prob  est_left=5.3min
  [E08S_gpt_4o] 175/330  avg=2.0s/prob  est_left=5.1min
  [E08S_gpt_4o] 180/330  avg=2.0s/prob  est_left=5.0min
  [E08S_gpt_4o] 185/330  avg=2.0s/prob  est_left=4.7min
  [E08S_gpt_4o] 190/330  avg=1.9s/prob  est_left=4.5min
  [E08S_gpt_4o] 195/330  avg=1.9s/prob  est_left=4.3min
  [E08S_gpt_4o] 200/330  avg=1.9s/prob  est_left=4.0min
  [E08S_gpt_4o] 205/330  avg=1.8s/prob  est_left=3.8min
  [E08S_gpt_4o] 210/330  avg=1.8s/prob  est_left=3.6min
  [E08S_gpt_4o] 215/330  avg=1.8s/prob  est_left=3.4min
  [E08S_gpt_4o] 220/330  avg=1.7s/prob  est_left=3.2min
  [E08S_gpt_4o] 225/330  avg=1.7s/prob  est_left=3.1min
  [E08S_gpt_4o] 230/330  avg=1.7s/prob  est_left=2.9min
  [E08S_gpt_4o] 235/330  avg=1.7s/prob  est_left=2.8min
  [E08S_gpt_4o] 240/330  avg=1.7s/prob  est_left=2.6min
  [E08S_gpt_4o] 245/330  avg=1.7s/prob  est_left=2.5min
  [E08S_gpt_4o] 250/330  avg=1.7s/prob  est_left=2.3min
  [E08S_gpt_4o] 255/330  avg=1.7s/prob  est_left=2.2min
  [E08S_gpt_4o] 260/330  avg=1.7s/prob  est_left=2.0min
  [E08S_gpt_4o] 265/330  avg=1.7s/prob  est_left=1.9min
  [E08S_gpt_4o] 270/330  avg=1.7s/prob  est_left=1.7min
  [E08S_gpt_4o] 275/330  avg=1.7s/prob  est_left=1.6min
  [E08S_gpt_4o] 280/330  avg=1.7s/prob  est_left=1.4min
  [E08S_gpt_4o] 285/330  avg=1.7s/prob  est_left=1.3min
  [E08S_gpt_4o] 290/330  avg=1.7s/prob  est_left=1.1min
  [E08S_gpt_4o] 295/330  avg=1.7s/prob  est_left=1.0min
  [E08S_gpt_4o] 300/330  avg=1.7s/prob  est_left=0.9min
  [E08S_gpt_4o] 305/330  avg=1.7s/prob  est_left=0.7min
  [E08S_gpt_4o] 310/330  avg=1.7s/prob  est_left=0.6min
  [E08S_gpt_4o] 315/330  avg=1.7s/prob  est_left=0.4min
  [E08S_gpt_4o] 320/330  avg=1.7s/prob  est_left=0.3min
  [E08S_gpt_4o] 325/330  avg=1.7s/prob  est_left=0.1min
  [E08S_gpt_4o] 330/330  avg=1.7s/prob  est_left=0.0min
  [E08S_gpt_4o] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp55_gpt4o_extractor.json (330 records).
