anchor records: 330  problem texts: 655

[E12_gemini_2_5_flash] model=gemini-2.5-flash  resumable from 0/330 cached records
  [E12_gemini_2_5_flash] 5/330  avg=5.8s/prob  est_left=31.4min
  [E12_gemini_2_5_flash] 10/330  avg=4.2s/prob  est_left=22.3min
  [E12_gemini_2_5_flash] 15/330  avg=2.9s/prob  est_left=15.0min
  [E12_gemini_2_5_flash] 20/330  avg=2.2s/prob  est_left=11.4min
  [E12_gemini_2_5_flash] 25/330  avg=1.8s/prob  est_left=9.3min
  [E12_gemini_2_5_flash] 30/330  avg=1.6s/prob  est_left=7.9min
  [E12_gemini_2_5_flash] 35/330  avg=1.4s/prob  est_left=6.8min
  [E12_gemini_2_5_flash] 40/330  avg=1.2s/prob  est_left=6.0min
  [E12_gemini_2_5_flash] 45/330  avg=1.1s/prob  est_left=5.4min
  [E12_gemini_2_5_flash] 50/330  avg=1.1s/prob  est_left=4.9min
  [E12_gemini_2_5_flash] 55/330  avg=1.0s/prob  est_left=4.5min
  [E12_gemini_2_5_flash] 60/330  avg=0.9s/prob  est_left=4.1min
  [E12_gemini_2_5_flash] 65/330  avg=0.9s/prob  est_left=3.8min
  [E12_gemini_2_5_flash] 70/330  avg=0.8s/prob  est_left=3.6min
  [E12_gemini_2_5_flash] 75/330  avg=0.8s/prob  est_left=3.4min
  [E12_gemini_2_5_flash] 80/330  avg=0.8s/prob  est_left=3.2min
  [E12_gemini_2_5_flash] 85/330  avg=0.7s/prob  est_left=3.0min
  [E12_gemini_2_5_flash] 90/330  avg=0.9s/prob  est_left=3.8min
  [E12_gemini_2_5_flash] 95/330  avg=1.1s/prob  est_left=4.4min
  [E12_gemini_2_5_flash] 100/330  avg=1.2s/prob  est_left=4.5min
  [E12_gemini_2_5_flash] 105/330  avg=1.1s/prob  est_left=4.2min
  [E12_gemini_2_5_flash] 110/330  avg=1.1s/prob  est_left=4.0min
  [E12_gemini_2_5_flash] 115/330  avg=1.0s/prob  est_left=3.7min
  [E12_gemini_2_5_flash] 120/330  avg=1.0s/prob  est_left=3.5min
  [E12_gemini_2_5_flash] 125/330  avg=1.1s/prob  est_left=3.7min
  [E12_gemini_2_5_flash] 130/330  avg=1.3s/prob  est_left=4.4min
  [E12_gemini_2_5_flash] 135/330  avg=1.3s/prob  est_left=4.1min
  [E12_gemini_2_5_flash] 140/330  avg=1.2s/prob  est_left=3.9min
  [E12_gemini_2_5_flash] 145/330  avg=1.2s/prob  est_left=3.7min
  [E12_gemini_2_5_flash] 150/330  avg=1.2s/prob  est_left=3.5min
  [E12_gemini_2_5_flash] 155/330  avg=1.1s/prob  est_left=3.3min
  [E12_gemini_2_5_flash] 160/330  avg=1.1s/prob  est_left=3.1min
  [E12_gemini_2_5_flash] 165/330  avg=1.1s/prob  est_left=3.1min
  [E12_gemini_2_5_flash] 170/330  avg=1.2s/prob  est_left=3.1min
  [E12_gemini_2_5_flash] 175/330  avg=1.1s/prob  est_left=3.0min
  [E12_gemini_2_5_flash] 180/330  avg=1.1s/prob  est_left=2.8min
  [E12_gemini_2_5_flash] 185/330  avg=1.1s/prob  est_left=2.6min
  [E12_gemini_2_5_flash] 190/330  avg=1.1s/prob  est_left=2.5min
  [E12_gemini_2_5_flash] 195/330  avg=1.0s/prob  est_left=2.4min
  [E12_gemini_2_5_flash] 200/330  avg=1.0s/prob  est_left=2.2min
  [E12_gemini_2_5_flash] 205/330  avg=1.0s/prob  est_left=2.1min
  [E12_gemini_2_5_flash] 210/330  avg=1.0s/prob  est_left=2.0min
  [E12_gemini_2_5_flash] 215/330  avg=1.0s/prob  est_left=1.9min
  [E12_gemini_2_5_flash] 220/330  avg=1.0s/prob  est_left=1.7min
  [E12_gemini_2_5_flash] 225/330  avg=0.9s/prob  est_left=1.6min
  [E12_gemini_2_5_flash] 230/330  avg=0.9s/prob  est_left=1.5min
  [E12_gemini_2_5_flash] 235/330  avg=0.9s/prob  est_left=1.4min
  [E12_gemini_2_5_flash] 240/330  avg=0.9s/prob  est_left=1.3min
  [E12_gemini_2_5_flash] 245/330  avg=0.9s/prob  est_left=1.2min
  [E12_gemini_2_5_flash] 250/330  avg=0.9s/prob  est_left=1.1min
  [E12_gemini_2_5_flash] 255/330  avg=0.8s/prob  est_left=1.1min
  [E12_gemini_2_5_flash] 260/330  avg=0.8s/prob  est_left=1.0min
  [E12_gemini_2_5_flash] 265/330  avg=0.8s/prob  est_left=0.9min
