anchor records: 330  problem texts: 655

[E13_llama_3_3_70B] model=meta-llama/Llama-3.3-70B-Instruct-Turbo  resumable from 3/330 cached records
  [E13_llama_3_3_70B] 8/330  avg=7.8s/prob  est_left=41.7min
  [E13_llama_3_3_70B] 13/330  avg=8.2s/prob  est_left=43.2min
  [E13_llama_3_3_70B] 18/330  avg=7.5s/prob  est_left=39.1min
  [E13_llama_3_3_70B] 23/330  avg=6.9s/prob  est_left=35.6min
  [E13_llama_3_3_70B] 28/330  avg=6.6s/prob  est_left=33.2min
  [E13_llama_3_3_70B] 33/330  avg=6.6s/prob  est_left=32.5min
  [E13_llama_3_3_70B] 38/330  avg=6.8s/prob  est_left=33.1min
  [E13_llama_3_3_70B] 43/330  avg=6.8s/prob  est_left=32.3min
  [E13_llama_3_3_70B] 48/330  avg=6.8s/prob  est_left=32.1min
  [E13_llama_3_3_70B] 53/330  avg=6.7s/prob  est_left=30.9min
  [E13_llama_3_3_70B] 58/330  avg=6.6s/prob  est_left=29.7min
  [E13_llama_3_3_70B] 63/330  avg=6.5s/prob  est_left=29.0min
  [E13_llama_3_3_70B] 68/330  avg=6.5s/prob  est_left=28.3min
  [E13_llama_3_3_70B] 73/330  avg=6.4s/prob  est_left=27.4min
  [E13_llama_3_3_70B] 78/330  avg=6.3s/prob  est_left=26.6min
  [E13_llama_3_3_70B] 83/330  avg=6.4s/prob  est_left=26.3min
  [E13_llama_3_3_70B] 88/330  avg=6.4s/prob  est_left=26.0min
  [E13_llama_3_3_70B] 93/330  avg=6.4s/prob  est_left=25.4min
  [E13_llama_3_3_70B] 98/330  avg=6.4s/prob  est_left=24.7min
  [E13_llama_3_3_70B] 103/330  avg=6.4s/prob  est_left=24.3min
  [E13_llama_3_3_70B] 108/330  avg=6.3s/prob  est_left=23.4min
  [E13_llama_3_3_70B] 113/330  avg=6.7s/prob  est_left=24.1min
  [E13_llama_3_3_70B] 118/330  avg=6.9s/prob  est_left=24.3min
  [E13_llama_3_3_70B] 123/330  avg=6.8s/prob  est_left=23.3min
  [E13_llama_3_3_70B] 128/330  avg=6.7s/prob  est_left=22.4min
  [E13_llama_3_3_70B] 133/330  avg=6.6s/prob  est_left=21.6min
  [E13_llama_3_3_70B] 138/330  avg=7.0s/prob  est_left=22.5min
  [E13_llama_3_3_70B] 143/330  avg=6.9s/prob  est_left=21.5min
  [E13_llama_3_3_70B] 148/330  avg=6.9s/prob  est_left=20.9min
  [E13_llama_3_3_70B] 153/330  avg=7.4s/prob  est_left=21.8min
  [E13_llama_3_3_70B] 158/330  avg=7.5s/prob  est_left=21.6min
  [E13_llama_3_3_70B] 163/330  avg=7.4s/prob  est_left=20.7min
  [E13_llama_3_3_70B] 168/330  avg=7.6s/prob  est_left=20.6min
  [E13_llama_3_3_70B] 173/330  avg=7.5s/prob  est_left=19.7min
  [E13_llama_3_3_70B] 178/330  avg=7.5s/prob  est_left=19.0min
  [E13_llama_3_3_70B] 183/330  avg=7.9s/prob  est_left=19.4min
  [E13_llama_3_3_70B] 188/330  avg=7.8s/prob  est_left=18.5min
  [E13_llama_3_3_70B] 193/330  avg=8.1s/prob  est_left=18.4min
  [E13_llama_3_3_70B] 198/330  avg=8.0s/prob  est_left=17.7min
  [E13_llama_3_3_70B] 203/330  avg=8.6s/prob  est_left=18.1min
  [E13_llama_3_3_70B] 208/330  avg=8.9s/prob  est_left=18.0min
  [E13_llama_3_3_70B] 213/330  avg=9.0s/prob  est_left=17.5min
  [E13_llama_3_3_70B] 218/330  avg=8.9s/prob  est_left=16.7min
  [E13_llama_3_3_70B] 223/330  avg=9.5s/prob  est_left=16.9min
  [E13_llama_3_3_70B] 228/330  avg=9.4s/prob  est_left=16.0min
  [E13_llama_3_3_70B] 233/330  avg=9.4s/prob  est_left=15.2min
  [E13_llama_3_3_70B] 238/330  avg=9.4s/prob  est_left=14.4min
  [E13_llama_3_3_70B] 243/330  avg=9.4s/prob  est_left=13.7min
  [E13_llama_3_3_70B] 248/330  avg=9.9s/prob  est_left=13.5min
  [E13_llama_3_3_70B] 253/330  avg=9.8s/prob  est_left=12.5min
  [E13_llama_3_3_70B] 258/330  avg=9.7s/prob  est_left=11.7min
  [E13_llama_3_3_70B] 263/330  avg=9.7s/prob  est_left=10.8min
  [E13_llama_3_3_70B] 268/330  avg=9.8s/prob  est_left=10.1min
  [E13_llama_3_3_70B] 273/330  avg=9.7s/prob  est_left=9.2min
  [E13_llama_3_3_70B] 278/330  avg=9.8s/prob  est_left=8.5min
  [E13_llama_3_3_70B] 283/330  avg=9.7s/prob  est_left=7.6min
  [E13_llama_3_3_70B] 288/330  avg=9.6s/prob  est_left=6.7min
  [E13_llama_3_3_70B] 293/330  avg=9.7s/prob  est_left=6.0min
  [E13_llama_3_3_70B] 298/330  avg=9.6s/prob  est_left=5.1min
  [E13_llama_3_3_70B] 303/330  avg=9.9s/prob  est_left=4.5min
  [E13_llama_3_3_70B] 308/330  avg=10.1s/prob  est_left=3.7min
  [E13_llama_3_3_70B] 313/330  avg=10.7s/prob  est_left=3.0min
  [E13_llama_3_3_70B] 318/330  avg=11.0s/prob  est_left=2.2min
  [E13_llama_3_3_70B] 323/330  avg=11.2s/prob  est_left=1.3min
  [E13_llama_3_3_70B] 328/330  avg=11.3s/prob  est_left=0.4min
  [E13_llama_3_3_70B] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp62_llama33_70b_extractor.json (330 records).
