anchor records: 330  problem texts: 655

[E14_qwen_3_235B] model=Qwen/Qwen3-235B-A22B-Instruct-2507-tput  resumable from 3/330 cached records
  [E14_qwen_3_235B] 8/330  avg=8.0s/prob  est_left=42.7min
  [E14_qwen_3_235B] 13/330  avg=7.9s/prob  est_left=41.5min
  [E14_qwen_3_235B] 18/330  avg=7.3s/prob  est_left=37.7min
  [E14_qwen_3_235B] 23/330  avg=6.5s/prob  est_left=33.2min
  [E14_qwen_3_235B] 28/330  avg=6.3s/prob  est_left=31.7min
  [E14_qwen_3_235B] 33/330  avg=6.2s/prob  est_left=30.9min
  [E14_qwen_3_235B] 38/330  avg=6.0s/prob  est_left=29.4min
  [E14_qwen_3_235B] 43/330  avg=6.5s/prob  est_left=31.3min
  [E14_qwen_3_235B] 48/330  avg=6.2s/prob  est_left=29.3min
  [E14_qwen_3_235B] 53/330  avg=6.1s/prob  est_left=28.1min
  [E14_qwen_3_235B] 58/330  avg=6.0s/prob  est_left=27.3min
  [E14_qwen_3_235B] 63/330  avg=6.1s/prob  est_left=26.9min
  [E14_qwen_3_235B] 68/330  avg=5.8s/prob  est_left=25.4min
  [E14_qwen_3_235B] 73/330  avg=5.7s/prob  est_left=24.2min
  [E14_qwen_3_235B] 78/330  avg=5.5s/prob  est_left=23.1min
  [E14_qwen_3_235B] 83/330  avg=5.4s/prob  est_left=22.1min
  [E14_qwen_3_235B] 88/330  avg=5.5s/prob  est_left=22.3min
  [E14_qwen_3_235B] 93/330  avg=5.4s/prob  est_left=21.3min
  [E14_qwen_3_235B] 98/330  avg=5.9s/prob  est_left=22.9min
  [E14_qwen_3_235B] 103/330  avg=5.8s/prob  est_left=21.9min
  [E14_qwen_3_235B] 108/330  avg=5.7s/prob  est_left=21.3min
  [E14_qwen_3_235B] 113/330  avg=5.7s/prob  est_left=20.6min
  [E14_qwen_3_235B] 118/330  avg=5.6s/prob  est_left=19.9min
  [E14_qwen_3_235B] 123/330  avg=5.6s/prob  est_left=19.4min
  [E14_qwen_3_235B] 128/330  avg=5.6s/prob  est_left=19.0min
  [E14_qwen_3_235B] 133/330  avg=5.7s/prob  est_left=18.7min
  [E14_qwen_3_235B] 138/330  avg=5.6s/prob  est_left=17.8min
  [E14_qwen_3_235B] 143/330  avg=5.6s/prob  est_left=17.3min
  [E14_qwen_3_235B] 148/330  avg=5.5s/prob  est_left=16.7min
  [E14_qwen_3_235B] 153/330  avg=5.4s/prob  est_left=15.9min
  [E14_qwen_3_235B] 158/330  avg=5.3s/prob  est_left=15.2min
  [E14_qwen_3_235B] 163/330  avg=5.1s/prob  est_left=14.3min
  [E14_qwen_3_235B] 168/330  avg=5.0s/prob  est_left=13.6min
  [E14_qwen_3_235B] 173/330  avg=5.0s/prob  est_left=13.1min
  [E14_qwen_3_235B] 178/330  avg=5.0s/prob  est_left=12.8min
  [E14_qwen_3_235B] 183/330  avg=5.0s/prob  est_left=12.2min
  [E14_qwen_3_235B] 188/330  avg=4.8s/prob  est_left=11.5min
  [E14_qwen_3_235B] 193/330  avg=5.0s/prob  est_left=11.4min
  [E14_qwen_3_235B] 198/330  avg=5.0s/prob  est_left=11.1min
  [E14_qwen_3_235B] 203/330  avg=4.9s/prob  est_left=10.4min
  [E14_qwen_3_235B] 208/330  avg=4.9s/prob  est_left=9.9min
  [E14_qwen_3_235B] 213/330  avg=4.8s/prob  est_left=9.4min
  [E14_qwen_3_235B] 218/330  avg=4.8s/prob  est_left=9.0min
  [E14_qwen_3_235B] 223/330  avg=4.7s/prob  est_left=8.4min
  [E14_qwen_3_235B] 228/330  avg=4.6s/prob  est_left=7.9min
  [E14_qwen_3_235B] 233/330  avg=4.5s/prob  est_left=7.3min
  [E14_qwen_3_235B] 238/330  avg=4.4s/prob  est_left=6.8min
  [E14_qwen_3_235B] 243/330  avg=4.5s/prob  est_left=6.6min
  [E14_qwen_3_235B] 248/330  avg=4.8s/prob  est_left=6.5min
  [E14_qwen_3_235B] 253/330  avg=4.7s/prob  est_left=6.1min
  [E14_qwen_3_235B] 258/330  avg=4.8s/prob  est_left=5.8min
  [E14_qwen_3_235B] 263/330  avg=4.8s/prob  est_left=5.4min
  [E14_qwen_3_235B] 268/330  avg=4.8s/prob  est_left=4.9min
  [E14_qwen_3_235B] 273/330  avg=4.7s/prob  est_left=4.4min
  [E14_qwen_3_235B] 278/330  avg=4.7s/prob  est_left=4.0min
  [E14_qwen_3_235B] 283/330  avg=4.6s/prob  est_left=3.6min
  [E14_qwen_3_235B] 288/330  avg=4.5s/prob  est_left=3.2min
  [E14_qwen_3_235B] 293/330  avg=4.5s/prob  est_left=2.8min
  [E14_qwen_3_235B] 298/330  avg=4.5s/prob  est_left=2.4min
  [E14_qwen_3_235B] 303/330  avg=4.6s/prob  est_left=2.1min
  [E14_qwen_3_235B] 308/330  avg=4.5s/prob  est_left=1.6min
  [E14_qwen_3_235B] 313/330  avg=4.5s/prob  est_left=1.3min
  [E14_qwen_3_235B] 318/330  avg=4.4s/prob  est_left=0.9min
  [E14_qwen_3_235B] 323/330  avg=4.4s/prob  est_left=0.5min
  [E14_qwen_3_235B] 328/330  avg=4.3s/prob  est_left=0.1min
  [E14_qwen_3_235B] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp63_qwen3_235b_extractor.json (330 records).
